PctBach,X,Y,TotPop90,PctRural,PctEld,PctFB,PctPov,PctBlack
8.2,941396.6,3521764,15744,75.6,11.43,0.64,19.9,20.76
6.4,895553,3471916,6213,100,11.77,1.58,26,26.86
6.6,930946.4,3502787,9566,61.7,11.11,0.27,24.1,15.42
9.4,745398.6,3474765,3615,100,13.17,0.11,24.8,51.67
13.3,849431.3,3665553,39530,42.7,8.64,1.43,17.5,42.39
6.4,819317.3,3807616,10308,100,11.37,0.34,15.1,3.49
9.2,803747.1,3769623,29721,64.6,10.63,0.92,14.7,11.44
9,699011.5,3793408,55911,75.2,9.66,0.82,10.7,9.21
7.6,863020.8,3520432,16245,47,12.81,0.33,22,31.33
7.5,859915.8,3466377,14153,66.2,11.98,1.19,19.3,11.62
17,809736.9,3636468,149967,16.1,12.23,1.06,19.2,41.68
10.3,844270.1,3595691,10430,57.9,12.6,0.64,18.3,22.36
5.8,979288.9,3463849,11077,100,9.02,0.33,18.2,4.58
9.1,827822,3421638,15398,65.6,13.68,1.76,25.9,41.47
11.8,1023145,3554982,15438,80.6,7.22,0.45,13.2,14.85
19.9,994903.4,3600493,43125,63.2,9.56,1.16,27.5,25.95
9.6,971593.8,3671394,20579,72.3,10.6,0.43,30.3,52.19
7.2,782448.2,3684504,15326,73.4,10.41,0.72,15.6,35.48
10.1,724741.2,3492653,5013,100,15.94,0.1,31.8,58.89
13.5,1008480,3437933,30167,47.1,4.78,2.14,11.5,20.19
9.9,964264.9,3598842,7744,52.1,13.8,0.96,24.1,30.94
12,678778.6,3713250,71422,68.5,9.66,0.85,14.4,15.46
8.1,670055.9,3862318,42464,43.6,10.73,0.39,12,0.91
6.4,962612.3,3432769,8496,100,9.66,0.42,18.3,27.05
18.6,1059706,3556747,216935,5.1,12.07,2.05,17.2,38.02
20.2,704959.2,3577608,16934,13.7,1.46,6.74,10.4,30.94
5.9,653026.6,3813760,22242,77.4,14.22,0.11,14.6,8.61
18.4,734240.9,3794110,90204,57.8,6.71,1.57,6.1,1.77
37.5,832508.6,3762905,87594,17.6,8.04,4.47,27,26.23
11.2,695793.9,3495219,3364,100,16.62,0.45,35.7,60.76
14.7,745538.8,3711726,182052,4.4,5.55,4.23,8.6,23.82
6.7,908046.1,3428340,6160,58.6,10.52,0.11,26.4,27.29
33,724646.8,3757187,447745,5.8,6.08,4.12,5.6,9.84
11.1,894463.9,3492465,29592,64.6,10.52,1.49,22.5,25.46
10,808691.8,3455994,36645,59.4,13.22,3.01,22.8,24.16
23.9,942527.9,3722100,66031,30.6,5.5,3.49,6.6,10.93
6.5,839816.1,3449007,13456,62,13.14,1.89,22.4,29.94
13.3,705457.9,3694344,53853,76.1,9.85,0.8,11.4,22.59
5.7,783416.5,3623343,8991,100,9.21,1.01,14,30.66
10,805648.4,3537103,20011,48.4,12.47,0.3,29,40.66
8,635964.3,3854592,13147,96.5,10.35,0.75,14.6,0.35
8.6,764386.1,3812502,9429,100,8.89,0.59,12.8,0.29
11.7,732628.4,3421800,25511,58,13.02,1.54,23.3,39.47
32.7,759231.9,3735253,545837,2.5,8.13,6.69,9.9,42.23
8,860451.4,3569933,17607,70.7,13.13,0.34,21.8,27.64
9.5,800031.3,3564188,9901,72.6,13.76,0.5,32.9,48.98
17,764116.9,3494367,96311,10,9.66,0.94,24.4,50.15
12,707288.7,3731361,71120,26.7,6.68,1.34,6.6,7.63
9.4,703495.1,3467152,11854,52.8,14.86,0.24,31.4,44.09
4.7,896654,3401148,2334,100,9.77,1.63,14.6,11.48
7.6,1031899,3596117,25687,89.1,7.87,0.69,12.7,14.03
8,879541.2,3785425,18949,70,13.78,0.84,19.7,29.99
9.1,943066.2,3616602,20546,64.2,13.32,0.41,25.7,32.58
8.6,981727.8,3571315,8724,100,13,0.48,25.4,33.88
